|#    |name                     |IRI.                                                   |TripleCount    |
|202  |fecha                    |http://es.dbpedia.org/property/fecha                   |44034          |
|203  |códigoPostalNombre       |http://dbpedia.org/property/códigoPostalNombre         |43875          |
|204  |prefijoTelefónicoNombre  |http://dbpedia.org/property/prefijoTelefónicoNombre    |43626          |
|205  |superordo                |http://es.dbpedia.org/property/superordo               |43468          |
|206  |superficieAgua           |http://dbpedia.org/property/superficieAgua             |43399          |
|207  |horarioVerano            |http://dbpedia.org/property/horarioVerano              |42840          |
|208  |superficieTierra         |http://dbpedia.org/property/superficieTierra           |42809          |
|209  |location                 |http://dbpedia.org/ontology/location                   |42555          |
|210  |pieMapaLoc               |http://dbpedia.org/property/pieMapaLoc                 |42515          |
|211  |binomial                 |http://dbpedia.org/property/binomial                   |42227          |
|212  |nombreCódigo             |http://es.dbpedia.org/property/nombreCódigo            |42051          |
|213  |nick                     |http://xmlns.com/foaf/0.1/nick                         |41275          |
|214  |subordo                  |http://es.dbpedia.org/property/subordo                 |41200          |
|215  |genusAuthority           |http://es.dbpedia.org/property/genusAuthority          |41004          |
|216  |id                       |http://dbpedia.org/property/id                         |40728          |
|217  |infraclassis             |http://es.dbpedia.org/property/infraclassis            |40680          |
|218  |demonym                  |http://dbpedia.org/ontology/demonym                    |40587          |
|219  |ocupación                |http://dbpedia.org/property/ocupación                  |40497          |
|220  |canton                   |http://dbpedia.org/ontology/canton                     |40031          |
|221  |nomcommune               |http://es.dbpedia.org/property/nomcommune              |39994          |
|222  |nomcommune               |http://dbpedia.org/property/nomcommune                 |39980          |
|223  |productor                |http://es.dbpedia.org/property/productor               |39500          |
|224  |fechaDeNacimiento        |http://es.dbpedia.org/property/fechaDeNacimiento       |39280          |
|225  |lugarDeNacimiento        |http://dbpedia.org/property/lugarDeNacimiento          |39275          |
|226  |isbn                     |http://es.dbpedia.org/property/isbn                    |39248          |
|227  |format                   |http://dbpedia.org/ontology/format                     |39000          |
|228  |partido                  |http://es.dbpedia.org/property/partido                 |38597          |
|229  |département              |http://es.dbpedia.org/property/département             |38597          |
|230  |prefijo                  |http://es.dbpedia.org/property/prefijo                 |38398          |
